LRD,eNodeBName,Band,Cluster,BandIndicator,eNodeBLongitude,eNodeBLatitude,Azimuth,MechinalDowntilt,Sector,LRD_Sector
PDPO,PDPOEML,L2100,#N/A,1,101.895969,2.462055,130,0,#N/A,#N/A
PDPO,PDPOEML,L2100,#N/A,1,101.895969,2.462055,240,0,#N/A,#N/A
PDPO,PDPOEML,L2100,#N/A,1,101.895969,2.462055,320,0,#N/A,#N/A
PDPO,PDPOEML,L1800,#N/A,3,101.895969,2.462055,130,0,#N/A,#N/A
PDPO,PDPOEML,L1800,#N/A,3,101.895969,2.462055,240,0,#N/A,#N/A
PDPO,PDPOEML,L1800,#N/A,3,101.895969,2.462055,320,0,#N/A,#N/A
SLIA,SLIAEML,L1800,UMN9_07,3,101.91,2.57698,95,0,1,SLIA_S1
SLIA,SLIAEML,L1800,UMN9_07,3,101.91,2.57698,160,0,2,SLIA_S2
SLIA,SLIAEML,L1800,UMN9_07,3,101.91,2.57698,305,0,3,SLIA_S3
SLIA,SLIAEML,L900,UMN9_07,8,101.91,2.57698,95,0,1,SLIA_S1
SLIA,SLIAEML,L900,UMN9_07,8,101.91,2.57698,160,0,2,SLIA_S2
SLIA,SLIAEML,L900,UMN9_07,8,101.91,2.57698,305,0,3,SLIA_S3
ALIP,ALIPUML,L1800,UMTG_01,3,103.042542,5.201828,90,0,1,ALIP_S1
ALIP,ALIPUML,L1800,UMTG_01,3,103.042542,5.201828,200,0,2,ALIP_S2
ALIP,ALIPUML,L1800,UMTG_01,3,103.042542,5.201828,310,0,3,ALIP_S3
ALKE,ALKEUML,L1800,UMTG_04,3,102.492945,5.693246,180,0,1,ALKE_S1
ALKE,ALKEUML,L1800,UMTG_04,3,102.492945,5.693246,260,0,2,ALKE_S2
ALKE,ALKEUML,L1800,UMTG_04,3,102.492945,5.693246,340,0,3,ALKE_S3
BBTP,BBTPDML,L2600,UMKN_02,7,102.15321,6.193619,50,0,1,BBTP_S1
BBTP,BBTPDML,L2600,UMKN_02,7,102.15321,6.193619,150,0,2,BBTP_S2
BBTP,BBTPDML,L2600,UMKN_02,7,102.15321,6.193619,305,0,3,BBTP_S3
BECS,BECSDML,L1800,#N/A,3,102.25782,5.5505,0,0,#N/A,#N/A
BECS,BECSDML,L1800,#N/A,3,102.25782,5.5505,90,0,#N/A,#N/A
BECS,BECSDML,L1800,#N/A,3,102.25782,5.5505,270,0,#N/A,#N/A
BJAL,BJALDML,L2100,UMKN_03,1,102.2472,5.976,30,0,1,BJAL_S1
BJAL,BJALDML,L2100,UMKN_03,1,102.2472,5.976,140,0,2,BJAL_S2
BJAL,BJALDML,L2100,UMKN_03,1,102.2472,5.976,260,0,3,BJAL_S3
BJAL,BJALDML,L2100,UMKN_03,1,102.2472,5.976,320,0,4,BJAL_S4
BJAL,BJALDML,L1800,UMKN_03,3,102.2472,5.976,30,0,1,BJAL_S1
BJAL,BJALDML,L1800,UMKN_03,3,102.2472,5.976,140,0,2,BJAL_S2
BJAL,BJALDML,L1800,UMKN_03,3,102.2472,5.976,260,0,3,BJAL_S3
BJAL,BJALDML,L1800,UMKN_03,3,102.2472,5.976,320,0,4,BJAL_S4
BKMS,BKMSDML,L1800,UMKN_06,3,102.137321,5.881448,55,0,1,BKMS_S1
BKMS,BKMSDML,L1800,UMKN_06,3,102.137321,5.881448,190,0,2,BKMS_S2
BKMS,BKMSDML,L1800,UMKN_06,3,102.137321,5.881448,305,0,3,BKMS_S3
BNRY,BNRYDML,L2100,UMKN_03,1,102.281,6.0575,150,0,1,BNRY_S1
BNRY,BNRYDML,L2100,UMKN_03,1,102.281,6.0575,230,0,2,BNRY_S2
